Product Name,Original Price,Discounted price,Discount(%),Rating
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,395,60,4.1
Daikin 1.5 Ton 4 Star Split Inverter with PM 2.5 Filter...,"52,700","37,600",28,5
Airtel Airtel HD remote HD Set Top Box Remote With AAA ...,699,195,72,5
VOLPRO UPTO 32'inch LED / LCD / SMART TV VOLTAGE STABIL...,"1,999",999,50,3.9
Microtek EM4160+ Digital Display For AC upto 1.5Ton ,"3,590","1,832",48,5
Tata Sky TataSky 100% Original remote with 2 Battery Ta...,699,215,69,5
Microtek EM4130+ Digital Display For AC upto 1.5Ton ,"5,690","3,299",42,4.2
VOLPRO LED / LCD / SMART TV UPTO 55'INCH Voltage Stabli...,"2,499","1,199",52,5
LipiWorld SA-D20 SA-D40 SA-D10 SA-WMS10 SA-WID7 Multime...,499,248,50,5
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,547,45,4.2
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,447,55,5
Candes Crystal 490 Voltage Stabilizer 4kVA for 1.5 Ton ...,"4,950","2,725",44,5
Axxiria Axxiria 2 layer protection Waterproof-Dustproof...,999,399,60,4
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,347,65,4.1
Daikin 1.5 Ton 3 Star Split Inverter AC  - White,"50,300","34,790",30,4.2
VOLPRO Lcd / Led Tv / Smart TV Voltage Stablizer,"2,499","1,199",52,3.9
hybite  LCD Compatible with  Panasonic Remote Controlle...,699,280,59,4
V-Guard VG400 One AC ,"2,600","1,780",31,3.7
Dish TV Universal HD Recording Dish Tv Remote Controlle...,699,209,70,4.3
BLUECHIP BL43SmartTV TV Voltage Stabilizer for LED TV/S...,"2,850","1,230",56,4
SINKUL TV REMOTE SMART TV REMOTE COMPATIBLE FOR SMART T...,999,349,65,4.4
Tata Sky Universal Genuine HD+ Recording ,799,244,69,3.8
SINKUL TV REMOTE TV REMOTE COMPATIBLE SONY BRAVIA LCD/L...,699,245,64,4.2
V-Guard Nano Supreme Television Voltage Stabilizer,"2,000","1,600",20,3.8
LipiWorld SMT-22 LCD LED TV Compatible For  LCD LED TV ...,549,328,40,3.9
V-Guard VGSD 50 Smart Electronic Voltage Stabilizer,"2,250","1,890",16,3.9
V-Guard MiniCrystal Electronic Voltage Stabilizer,"1,990","1,779",10,4.5
V-Guard Mini Crystal Smart TV Voltage Stabilizer for 82...,"2,490","1,990",20,3.9
Axelleindia Compatible Split & Window AC ,699,339,51,4.2
LipiWorld 6710V00109B  TV Universal Remote Control Comp...,499,258,48,3.9
Candes Crystal 490 4kVA for 1.5 Ton AC ,"7,430","5,169",30,4.1
astigo compatible remote for i Smart TV Mi Remote Contr...,499,268,46,4.2
Dish TV ORIGINAL which comes with Setop box Dish Tv Set...,499,219,56,3.8
Tata Sky Universal SD & HD Box Tata Sky DTH Remote Cont...,599,208,65,4.3
LipiWorld RM-1180M -1,499,319,36,4
VOLPRO UPTO 32'inch LED / LCD / SMART TV VOLTAGE STABIL...,"1,999",999,50,4.1
V-Guard Voltino Digi 2.25 A TV Stabilizer,"3,510","2,750",21,4.2
LipiWorld In-Built D2H Set-Top Box Compatible For Sansu...,499,369,26,4.2
V-Guard VG 50 New Model Voltage Stabilizer,"1,600","1,485",7,4
VOLPRO LED / LCD / SMART TV UPTO 55'INCH Voltage Stabli...,"2,499","1,199",52,4.2
Airtel Regular Digital TV SD/HD DTH Compatible Remote U...,599,195,67,4.2
hybite Led Lcd Universal Remote Control For 3d Smart Le...,499,248,50,4
Technology Ahead TA VIDEOCON LCD/LED TV REMOTE VIDEOCON...,999,249,75,4.2
V-Guard iD4 Dura 2040 with Digital Display for 1.5 Ton ...,"4,800","3,050",36,4.2
Dish TV DISH-001 dish tv Remote Controller,599,209,65,5
Digiway Round Strip 6 A Three Pin Socket,249,135,45,5
SINKUL TV REMOTE 3D SMART Ultra HD 4K lg tv Remote Cont...,599,239,60,3.9
V-Guard Magno 410 Voltage Stabilizer,"2,800","1,740",37,3
Techfab 4A LED Smart TV Remote Control Compatible for S...,999,219,78,3
"YKA SA-D10, SA-D100, SA-D40 Sony Home Theater System Re...",999,310,68,3.7
V-Guard i4 Prima 2040 for 1.5 Ton Inverter A.C ,"4,300","2,750",36,4
V-Guard Crystal Plus Supreme TV Voltage Stabilizer for ...,"3,590","2,960",17,4
Tata Sky DTH ORIGINAL TATASKY Remote Controller,499,215,56,4.1
LipiWorld 41 AC Remote Compatible for  AC VOLTAS Remote...,799,419,47,4
Technology Ahead TA  SANSUI LED/LCD TV REMOTE Remote Co...,999,299,70,4
V-Guard V 400 Supreme for 1.5 Ton A.C ,"2,850","1,940",31,4
LipiWorld 6710V00079A Universal Remote Control Compatib...,499,288,42,5
Airtel Airtel Universal Setup box Remote Digital Setup ...,499,194,61,4
LipiWorld 36A AC Remote Compatible for with Mosquito Fu...,799,419,47,4
Candes A4170MS 4kVA for 1.5 Ton AC ,"2,500","1,677",32,3.6
LipiWorld AA59-00345A Compatible For  Crt Tv Remote Con...,499,288,42,4.2
Lieven Remote Control Compatible for Mi Smart LED TV 4A...,999,294,70,4.3
"SHIELDGUARD Remote Control No. 02, Compatible for  LED/...",799,399,50,3.9
V-Guard Nano Supreme Television Voltage Stabilizer,"2,000","1,600",20,4.4
LipiWorld Hexa Boost Netflix Function LED LCD Remote Co...,499,341,31,4.3
King Enterprise VIDEOCON D2H Set Top Box Remote videoco...,499,235,52,4.3
hybite Compatible Remote Control For Set Top Box- Witho...,300,180,40,4.2
V-Guard Mini Crystal Smart TV Voltage Stabilizer for 82...,"2,490","1,990",20,4.2
Airtel Airtel Universal Remote Universal Remote with ba...,402,209,48,4.2
V-Guard Voltino Grand Digi 4 A Voltage Stabilizer,"4,940","3,875",21,3.9
Dish TV Hd remote Dish tv Remote Controller,399,210,47,3.8
VOLPRO UPTO 32'inch LED / LCD / SMART TV VOLTAGE STABIL...,"1,999",999,50,3.9
Technology Ahead TA  SAMSUNG 3D LED/LCD SMART REMOTE Re...,999,349,65,4.2
Daikin 0.8 Ton 3 Star Split with PM 2.5 Filter AC with ...,"28,600","24,490",14,4.1
Sun Direct SUN DIRECT HD SET TOP BOX sun direct HD set ...,599,225,62,4.4
VOLPRO LED / LCD / SMART TV UPTO 55'INCH Voltage Stabli...,"2,499","1,199",52,3.8
V-Guard Magno 410 Voltage Stabilizer,"2,800","1,740",37,4.3
LipiWorld AA59-00607A LED/LCD Remote Control Compatible...,499,277,44,4
LipiWorld LED LCD Smart TV HD Remote Control Compatible...,799,579,27,4
V-Guard iD4 Dura 2040 with Digital Display for 1.5 Ton ...,"4,800","3,050",36,4
Airtel Universal Digital Tv SD HD Setop Box Recording a...,499,175,64,4
King Enterprise SANSUI S-2GG LED/LCD Remote Controller ...,499,247,50,4.2
Tata Sky TataSky New body remote Universal Genuine Remo...,599,214,64,3.8
BLUECHIP BL43SmartTV TV Voltage Stabilizer for LED TV/S...,"2,850","1,230",56,3.9
Tata Sky Original Universal Remote ,499,208,58,4
blutech 4A LCD LED Smart TV Remote Control Compatible f...,999,268,73,4.2
V-Guard New VWR 400 Plus Digital Display For Inverter A...,"5,990","4,699",21,3.8
Candes Crystal 490 Voltage Stabilizer 4kVA for 1.5 Ton ...,"4,950","2,725",44,4.2
Technology Ahead TA ONIDA TV REMOTE ONIDA GENIUNE TV RE...,999,249,75,4.3
Airtel DIGITAL TV HD RECORDING ORIGINAL AIRTEL Remote C...,699,193,72,4.4
Airtel Regular Digital TV DTH Remote Compatible with SD...,596,196,67,3.8
Candes 0390-SS Voltage Stabilizer for LCD/LED TV Upto 4...,"2,000","1,221",38,4
LipiWorld LCD LED Smart TV Remote Control Compatible fo...,499,399,20,4.2
Tata Sky Universal Remote for SD and HD Set Top Box,449,199,55,4.1
FOX  LED TV SAMSUNG Remote Controller,799,379,52,4.2
V-Guard i4 Prima 2040 for 1.5 Ton Inverter A.C ,"4,300","2,750",36,4
LipiWorld DSP2800 Multimedia Speaker System Remote Comp...,499,288,42,4.1
SINKUL Remote Control HD GTPL Remote Controller,499,215,56,4.1
V-Guard AD4 Volta 3030 for 1.5 Ton AC ,"5,100","3,260",36,4.2
V-Guard Crystal Plus Supreme TV Voltage Stabilizer for ...,"3,590","2,960",17,5
LipiWorld RM-1180M -1,499,319,36,4
Airtel Airtel Universal Setup box Remote Digital Setup ...,499,194,61,4.4
Sun Direct remote latest Sun Direct Remote Controller,399,225,43,5
Candes A4170MS 4kVA for 1.5 Ton AC ,"2,500","1,677",32,5
"YKA SA-D10, SA-D100, SA-D40 Sony Home Theater System Re...",999,310,68,3.9
LipiWorld 41 AC Remote Compatible for  AC VOLTAS Remote...,799,419,47,5
Axxiria Axxiria 2 layer protection Waterproof-Dustproof...,999,449,55,5
V-Guard Nano Supreme Television Voltage Stabilizer,"2,000","1,600",20,4.2
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,395,60,5
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,395,60,3
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,347,65,4
V-Guard Mini Crystal Smart TV Voltage Stabilizer for 82...,"2,490","1,990",20,5
Gi-Shop GDRM-9011089-Watt Roti and Khakra Maker,"4,099","1,497",63,5
Technology Ahead TA  SANSUI LED/LCD TV REMOTE Remote Co...,999,299,70,4.1
V-Guard Magno 410 Voltage Stabilizer,"2,800","1,740",37,4
VOLPRO UPTO 32'inch LED / LCD / SMART TV VOLTAGE STABIL...,"1,999",999,50,4.1
V-Guard iD4 Ace 5540 for 1.5 Ton Inverter A.C ,"6,400","4,499",29,4.3
V-Guard VGSD 50 Supreme Upto 300 Litre Voltage Stabiliz...,"1,790","1,750",2,3.8
V-Guard iD4 Prima 2040 for Inverter AC Up to 1.5 Ton ,"4,700","3,050",35,3.3
